Proveedor,Producto,Campo,Valor
Imperva,Cloud WAF,supported_clouds,Any (reverse proxy)
Imperva,Cloud WAF,min_deployment_size,1 web application
Imperva,Cloud WAF,free_trial,Yes (30 days)
Imperva,Cloud WAF,support_languages,"EN, JP, DE"
Imperva,Cloud WAF,founded_year,2002
Imperva,Cloud WAF,hq_location,"San Mateo, CA, USA"
Mandiant,Advantage Threat Intelligence,pricing_model,Per subscription tier/year
Mandiant,Advantage Threat Intelligence,pricing_range,"Free (limited access); Standard and Enterprise contact sales"
Mandiant,Advantage Threat Intelligence,encryption_algorithms,"AES-256, TLS 1.2/1.3"
Mandiant,Advantage Threat Intelligence,api_docs_url,https://docs.mandiant.com/home/mati-api-v4-overview
Mandiant,Advantage Threat Intelligence,supported_clouds,Any (SaaS)
Mandiant,Advantage Threat Intelligence,min_deployment_size,1 subscription
Mandiant,Advantage Threat Intelligence,free_trial,Free tier (limited)
Mandiant,Advantage Threat Intelligence,support_languages,"EN, JP"
Mandiant,Advantage Threat Intelligence,founded_year,2004
Mandiant,Advantage Threat Intelligence,hq_location,"Reston, VA, USA (now part of Google Cloud)"
Sophos,Intercept X Endpoint,pricing_model,Per endpoint/year
Sophos,Intercept X Endpoint,pricing_range,$20-50/endpoint/year (volume-dependent)
Sophos,Intercept X Endpoint,encryption_algorithms,"AES-256, TLS 1.2/1.3"
Sophos,Intercept X Endpoint,api_docs_url,https://developer.sophos.com/
Sophos,Intercept X Endpoint,supported_clouds,Any (SaaS-managed)
Sophos,Intercept X Endpoint,min_deployment_size,1 endpoint
Sophos,Intercept X Endpoint,free_trial,Yes (30 days)
Sophos,Intercept X Endpoint,support_languages,"EN, DE, FR, ES, IT, JP, PT, KO, ZH"
Sophos,Intercept X Endpoint,founded_year,1985
Sophos,Intercept X Endpoint,hq_location,"Abingdon, Oxfordshire, United Kingdom"
Keyfactor,EJBCA,pricing_model,Per certificate or per instance/year
Keyfactor,EJBCA,pricing_range,"Free (Community); Enterprise contact sales (~$50K-$200K/year)"
Keyfactor,EJBCA,encryption_algorithms,"RSA-4096, ECC P-256/P-384, Ed25519, AES-256, SHA-384/512"
Keyfactor,EJBCA,api_docs_url,https://doc.primekey.com/ejbca/ejbca-operations/ejbca-ca-concept-guide/protocols/ejbca-rest-interface
Keyfactor,EJBCA,supported_clouds,"AWS, Azure, GCP, Any (self-hosted or SaaS)"
Keyfactor,EJBCA,min_deployment_size,1 CA instance
Keyfactor,EJBCA,free_trial,Community edition (free open source)
Keyfactor,EJBCA,support_languages,"EN"
Keyfactor,EJBCA,founded_year,2001
Keyfactor,EJBCA,hq_location,"Independence, OH, USA"
Venafi,TLS Protect,pricing_model,Per certificate/year
Venafi,TLS Protect,pricing_range,Contact sales (~$30K-$150K+/year)
Venafi,TLS Protect,encryption_algorithms,"RSA-4096, ECC P-256/P-384, AES-256, TLS 1.2/1.3"
Venafi,TLS Protect,api_docs_url,https://docs.venafi.com/Docs/current/TopNav/Content/SDK/WebSDK/c-sdk-overview.php
Venafi,TLS Protect,supported_clouds,"AWS, Azure, GCP, Any"
Venafi,TLS Protect,min_deployment_size,100 certificates (typical)
Venafi,TLS Protect,free_trial,No (PoC available)
Venafi,TLS Protect,support_languages,"EN"
Venafi,TLS Protect,founded_year,2004
Venafi,TLS Protect,hq_location,"Salt Lake City, UT, USA"
DigiCert,CertCentral,pricing_model,Per certificate/year
DigiCert,CertCentral,pricing_range,"$268-$995/year per DV/OV/EV cert, volume discounts available"
DigiCert,CertCentral,encryption_algorithms,"RSA-4096, ECC P-256/P-384, Ed25519, SHA-256/384"
DigiCert,CertCentral,api_docs_url,https://dev.digicert.com/en/certcentral-apis.html
DigiCert,CertCentral,supported_clouds,"AWS, Azure, GCP, Any"
DigiCert,CertCentral,min_deployment_size,1 certificate
DigiCert,CertCentral,free_trial,No (30-day money-back guarantee)
DigiCert,CertCentral,support_languages,"EN, ES, FR, DE, JP, KO, ZH, PT"
DigiCert,CertCentral,founded_year,2003
DigiCert,CertCentral,hq_location,"Lehi, UT, USA"
Entrust,nShield HSM,pricing_model,Per appliance (perpetual + support) or as-a-Service subscription
Entrust,nShield HSM,pricing_range,"$15K-$80K per appliance; nShield as a Service from $800/month"
Entrust,nShield HSM,encryption_algorithms,"AES-256, RSA-4096, ECC P-521, 3DES, HMAC-SHA-512, Ed25519"
Entrust,nShield HSM,api_docs_url,https://nshielddocs.entrust.com/api/
Entrust,nShield HSM,supported_clouds,"AWS, Azure, GCP (nSaaS), Any (network-attached)"
Entrust,nShield HSM,min_deployment_size,1 HSM (Solo or Connect)
Entrust,nShield HSM,free_trial,No (nShield trial program available)
Entrust,nShield HSM,support_languages,"EN, DE, FR, JP"
Entrust,nShield HSM,founded_year,1969
Entrust,nShield HSM,hq_location,"Shakopee, MN, USA"
Claroty,xDome,pricing_model,Per asset/year
Claroty,xDome,pricing_range,Contact sales
Claroty,xDome,encryption_algorithms,"AES-256, TLS 1.2/1.3"
Claroty,xDome,api_docs_url,https://claroty.com/resources/api-documentation
Claroty,xDome,supported_clouds,"AWS, Azure (SaaS platform)"
Claroty,xDome,min_deployment_size,1 OT site/network
Claroty,xDome,free_trial,No (PoC available)
Claroty,xDome,support_languages,"EN, DE, JP"
Claroty,xDome,founded_year,2015
Claroty,xDome,hq_location,"New York, NY, USA"
Vanta,Compliance Automation,pricing_model,Per framework/year
Vanta,Compliance Automation,pricing_range,"Starting ~$6K/year (Startup), up to $50K+ (Enterprise)"
Vanta,Compliance Automation,encryption_algorithms,"AES-256, TLS 1.2/1.3"
Vanta,Compliance Automation,api_docs_url,https://developer.vanta.com/
Vanta,Compliance Automation,supported_clouds,"AWS, Azure, GCP"
Vanta,Compliance Automation,min_deployment_size,1 organization
Vanta,Compliance Automation,free_trial,No (demo available)
Vanta,Compliance Automation,support_languages,"EN"
Vanta,Compliance Automation,founded_year,2018
Vanta,Compliance Automation,hq_location,"San Francisco, CA, USA"
BeyondTrust,Privileged Remote Access,pricing_model,Per named user or concurrent user/year
BeyondTrust,Privileged Remote Access,pricing_range,Contact sales (~$30-100/user/month)
BeyondTrust,Privileged Remote Access,encryption_algorithms,"AES-256, TLS 1.2/1.3, RSA-2048"
BeyondTrust,Privileged Remote Access,api_docs_url,https://www.beyondtrust.com/docs/privileged-remote-access/how-to/integrations/api/index.htm
BeyondTrust,Privileged Remote Access,supported_clouds,"AWS, Azure, GCP, Any"
BeyondTrust,Privileged Remote Access,min_deployment_size,1 appliance or SaaS instance
BeyondTrust,Privileged Remote Access,free_trial,Yes (trial available)
BeyondTrust,Privileged Remote Access,support_languages,"EN, DE, FR, ES, JP"
BeyondTrust,Privileged Remote Access,founded_year,1985
BeyondTrust,Privileged Remote Access,hq_location,"Atlanta, GA, USA"
Delinea,Secret Server,pricing_model,Per user/year (named or concurrent)
Delinea,Secret Server,pricing_range,"Free (up to 25 secrets); Professional from $10K/year; Enterprise contact sales"
Delinea,Secret Server,encryption_algorithms,"AES-256, RSA-2048, TLS 1.2/1.3"
Delinea,Secret Server,api_docs_url,https://docs.delinea.com/online-help/secret-server/api-scripting/rest-api-reference-download/index.htm
Delinea,Secret Server,supported_clouds,"AWS, Azure, GCP, Any"
Delinea,Secret Server,min_deployment_size,1 instance (Free: 25 secrets)
Delinea,Secret Server,free_trial,Free tier (25 secrets)
Delinea,Secret Server,support_languages,"EN, DE, FR, JP"
Delinea,Secret Server,founded_year,1996
Delinea,Secret Server,hq_location,"San Francisco, CA, USA"
SecurityScorecard,Ratings Platform,pricing_model,Per rated entity/year
SecurityScorecard,Ratings Platform,pricing_range,"Free (self-rating); Business and Enterprise contact sales"
SecurityScorecard,Ratings Platform,encryption_algorithms,"AES-256, TLS 1.2/1.3"
SecurityScorecard,Ratings Platform,api_docs_url,https://securityscorecard.readme.io/reference
SecurityScorecard,Ratings Platform,supported_clouds,Any (SaaS)
SecurityScorecard,Ratings Platform,min_deployment_size,1 organization (free self-rating)
SecurityScorecard,Ratings Platform,free_trial,Free tier (own scorecard)
SecurityScorecard,Ratings Platform,support_languages,"EN, DE, JP"
SecurityScorecard,Ratings Platform,founded_year,2013
SecurityScorecard,Ratings Platform,hq_location,"New York, NY, USA"
SentinelOne,Singularity Endpoint Protection,pricing_model,Per endpoint/year
SentinelOne,Singularity Endpoint Protection,pricing_range,$6-12/endpoint/month (Core to Complete)
SentinelOne,Singularity Endpoint Protection,encryption_algorithms,"AES-256, TLS 1.2/1.3"
SentinelOne,Singularity Endpoint Protection,api_docs_url,https://usea1-partners.sentinelone.net/api-doc/overview
SentinelOne,Singularity Endpoint Protection,supported_clouds,"AWS, Azure, GCP"
SentinelOne,Singularity Endpoint Protection,min_deployment_size,5 endpoints (Singularity Core)
SentinelOne,Singularity Endpoint Protection,free_trial,Yes (30 days)
SentinelOne,Singularity Endpoint Protection,support_languages,"EN, DE, FR, ES, JP, KO, ZH, IT"
SentinelOne,Singularity Endpoint Protection,founded_year,2013
SentinelOne,Singularity Endpoint Protection,hq_location,"Mountain View, CA, USA"
